name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
HAMLET ハムレット,2019-06-22,105,25125.0,1,1,1
HAMLET ハムレット,2019-06-22,106,52950.0,1,1,1
HAMLET ハムレット,2019-06-22,109,33562.4375,1,1,1
HAMLET ハムレット,2019-06-22,111,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-22,112,39770.833333333336,1,1,1
HAMLET ハムレット,2019-06-22,113,39500.0,1,1,1
HAMLET ハムレット,2019-06-23,77,63017.25,1,1,1
HAMLET ハムレット,2019-06-23,78,60000.0,1,1,1
HAMLET ハムレット,2019-06-23,79,36600.0,1,1,1
HAMLET ハムレット,2019-06-23,80,55000.0,1,1,1
HAMLET ハムレット,2019-06-23,82,62000.0,1,1,1
HAMLET ハムレット,2019-06-23,83,45125.0,1,1,1
HAMLET ハムレット,2019-06-23,85,28000.0,1,1,1
HAMLET ハムレット,2019-06-23,86,22500.0,1,1,1
HAMLET ハムレット,2019-06-23,87,40000.0,1,1,1
HAMLET ハムレット,2019-06-23,89,45000.0,1,1,1
HAMLET ハムレット,2019-06-23,90,25600.0,1,1,1
HAMLET ハムレット,2019-06-23,93,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-23,94,45000.0,1,1,1
HAMLET ハムレット,2019-06-23,97,37500.0,1,1,1
HAMLET ハムレット,2019-06-23,98,25000.0,1,1,1
HAMLET ハムレット,2019-06-23,99,25000.0,1,1,1
HAMLET ハムレット,2019-06-23,100,28880.0,1,1,1
